name,group,url,icon,desc
画像の背景を削除,Webサービス,web/background-removal/index.html,images/generative-image.png,AIベースの画像の背景を削除して拾う
GIFコンバーター,Webサービス,web/image-to-gif/index.html,images/gif-file.png,画像を合わせて動かすGIFウムチャル制作
オーディオコンバータ,Webサービス,web/audio-converter/index.html,images/volume-adjustment.png,音楽とオーディオファイル形式のインターコンバータ
画像画質の改善,Webサービス,web/image-upscaler/index.html,images/scale.png,ぼやけた写真を鮮明に高精細アップスケール
イメージAI消しゴム,Webサービス,web/object-eraser/index.html,images/eraser.png,AI写真の中の不要なものやテキストを削除する
画像変換フィルタ,Webサービス,web/anime-filter/index.html,images/comic-book.png,写真を漫画/ウェブトゥーンアニメスタイルに変換
イメージAI分析,Webサービス,web/image-tagging/index.html,images/image.png,AI画像分析物体認識とタグ推薦フレーズの生成
カラーメーター,Webサービス,web/color-picker/index.html,images/color.png,画面上の正確なカラーコードスポイトの抽出
バトルアリーナ,ゲーム,game/battle_arena/index.html,images/battle.png,50人サバイバルバトルアリーナアクションゲーム
ステラ・ヴァンガード,ゲーム,game/stella_vanguard/index.html,images/digital.png,鐘スクロール宇宙船飛行シューティングアクションゲーム
タロト,ゲーム,web/lotto_tarot/index.html,images/lottery.png,今日の太郎占いリーディングと人工知能の悩み相談
地雷を探す,ゲーム,web/minesweeper/index.html,images/bomb.png,Webブラウザですぐに楽しむクラシック地雷を探す
打者練習,ゲーム,web/typing-practice/index.html,images/typing.png,タイピング練習のためのハングル/英語タイプライター
お問い合わせ,その他,https://forms.gle/iGqkmrB7YYptoUgQA,images/board.png,アフィリエイト/エラーなどお問い合わせ登録
メモ帳,その他,web/notepad/index.html,images/notepad.png,作成内容が自動的にアーカイブされる簡単なWebメモ帳
img1,壁紙,,https://images.unsplash.com/photo-1688550378756-866114814fee?q=80&w=2560&auto=format&fit=crop,。
img2,壁紙,,https://images.unsplash.com/photo-1497436072909-60f360e1d4b1?q=80&w=2560&auto=format&fit=crop,。
img3,壁紙,,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=2560&auto=format&fit=crop,。
img4,壁紙,,https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?q=80&w=2560&auto=format&fit=crop,。
img5,壁紙,,https://images.unsplash.com/photo-1672838564788-e1e502b0cf54?q=80&w=2560&auto=format&fit=crop,。
img6,壁紙,,https://images.unsplash.com/photo-1589959116874-6216d692f81c?q=80&w=2560&auto=format&fit=crop,。
img7,壁紙,,https://images.unsplash.com/photo-1669666575158-ba619feba389?q=80&w=2560&auto=format&fit=crop,。
img8,壁紙,,https://images.unsplash.com/photo-1780392345460-c93c15118dda?q=80&w=2560&auto=format&fit=crop,。
img9,壁紙,,https://images.unsplash.com/photo-1687868803274-b800be48c907?q=80&w=2560&auto=format&fit=crop,。
AIトレンドポータル,知識＆トレンド,https://ai.smileslife.co.kr/,images/icon_ai.png,最新のAI技術動向と人工知能トレンド情報
ビジネスインサイト,知識＆トレンド,https://business.smileslife.co.kr/,images/icon_business.png,成功したビジネス戦略と創業マーケティングガイド
クリプトガイド,知識＆トレンド,https://crypto.smileslife.co.kr/,images/icon_crypto.png,仮想資産市場分析とブロックチェーントレンド動向
好奇心天国ポータル,知識＆トレンド,https://curiosity.smileslife.co.kr/,images/icon_curiosity.png,世界の興味深い知識と謎の好奇心を探る
スマート金融情報,知識＆トレンド,https://finance.smileslife.co.kr/,images/icon_finance.png,合理的な資産管理と効率的な金融情報ポータル
ファイア族資産設計,知識＆トレンド,https://fire.smileslife.co.kr/,images/icon_fire.png,経済的自由を準備するファイア族資産設計のヒント
オートメーションパッシブインカム,知識＆トレンド,https://passive.smileslife.co.kr/,images/icon_passive.png,自動化収益計画とパッシブインカムパイプラインの構築
Pythonオートメーションコーディング,知識＆トレンド,https://python.smileslife.co.kr/,images/icon_python.png,Pythonプログラミングの基礎コアと自動化コーディング学習
リスク管理情報,知識＆トレンド,https://risk.smileslife.co.kr/,images/icon_risk.png,資産リスク管理と安全な金融リスク要因の分析
SEO最適化ガイド,知識＆トレンド,https://seo.smileslife.co.kr/,images/icon_seo.png,検索エンジン最適化ノウハウとウェブサイトのトップインプレッションのヒント
株式投資インサイト,知識＆トレンド,https://stock.smileslife.co.kr/,images/icon_stock.png,国内外の株式市場市場分析と株式投資戦略
