name,group,url,icon,desc
eliminación del fondo de la imagen,Servicio web,web/background-removal/index.html,images/generative-image.png,Eliminación y recorte de fondo de imágenes mediante inteligencia artificial.
convertidor de GIF,Servicio web,web/image-to-gif/index.html,images/gif-file.png,Creación de GIF animados mediante la combinación de imágenes.
convertidor de audio,Servicio web,web/audio-converter/index.html,images/volume-adjustment.png,Convertidor de formatos de archivos de música y audio
mejora de la calidad de la imagen,Servicio web,web/image-upscaler/index.html,images/scale.png,Mejora de la resolución de fotos borrosas a alta definición para convertirlas en imágenes nítidas.
Borrador de imágenes con IA,Servicio web,web/object-eraser/index.html,images/eraser.png,La IA elimina objetos y texto no deseados de las fotos.
Filtro de conversión de imagen,Servicio web,web/anime-filter/index.html,images/comic-book.png,Convierte fotos a estilo de animación de dibujos animados/webtoon.
Análisis de imágenes mediante IA,Servicio web,web/image-tagging/index.html,images/image.png,"Análisis de imágenes mediante IA, reconocimiento de objetos y generación de frases para la recomendación de etiquetas."
Medidor de color,Servicio web,web/color-picker/index.html,images/color.png,Extraiga códigos de color precisos de la pantalla utilizando la herramienta cuentagotas.
Arena de batalla,juego,game/battle_arena/index.html,images/battle.png,Juego de acción y batalla de supervivencia en arena para 50 jugadores
Stella Vanguard,juego,game/stella_vanguard/index.html,images/digital.png,Juego de acción y disparos de naves espaciales con desplazamiento lateral
Tarot,juego,web/lotto_tarot/index.html,images/lottery.png,Lectura de tarot y asesoramiento con IA para hoy
Dragaminas,juego,web/minesweeper/index.html,images/bomb.png,Juega al clásico Buscaminas directamente en tu navegador web.
Práctica de mecanografía,juego,web/typing-practice/index.html,images/typing.png,Máquina de escribir coreana/inglesa para practicar mecanografía
imagen1,Papel pintado,,https://images.unsplash.com/photo-1688550378756-866114814fee?q=80&w=2560&auto=format&fit=crop,.
imagen2,Papel pintado,,https://images.unsplash.com/photo-1497436072909-60f360e1d4b1?q=80&w=2560&auto=format&fit=crop,.
imagen3,Papel pintado,,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=2560&auto=format&fit=crop,.
imagen4,Papel pintado,,https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?q=80&w=2560&auto=format&fit=crop,.
imagen5,Papel pintado,,https://images.unsplash.com/photo-1672838564788-e1e502b0cf54?q=80&w=2560&auto=format&fit=crop,.
imagen6,Papel pintado,,https://images.unsplash.com/photo-1589959116874-6216d692f81c?q=80&w=2560&auto=format&fit=crop,.
imagen7,Papel pintado,,https://images.unsplash.com/photo-1669666575158-ba619feba389?q=80&w=2560&auto=format&fit=crop,.
imagen8,Papel pintado,,https://images.unsplash.com/photo-1780392345460-c93c15118dda?q=80&w=2560&auto=format&fit=crop,.
imagen9,Papel pintado,,https://images.unsplash.com/photo-1687868803274-b800be48c907?q=80&w=2560&auto=format&fit=crop,.
Portal de tendencias de IA,Conocimiento y tendencias,https://ai.smileslife.co.kr/,images/icon_ai.png,Últimas tendencias en tecnología de IA e información sobre tendencias en inteligencia artificial.
Perspectivas empresariales,Conocimiento y tendencias,https://business.smileslife.co.kr/,images/icon_business.png,Guía de estrategia empresarial exitosa y marketing para startups
Guía de criptomonedas,Conocimiento y tendencias,https://crypto.smileslife.co.kr/,images/icon_crypto.png,Análisis del mercado de activos virtuales y tendencias de blockchain
Portal del Cielo de la Curiosidad,Conocimiento y tendencias,https://curiosity.smileslife.co.kr/,images/icon_curiosity.png,"Explorando el conocimiento interesante, los misterios y la curiosidad del mundo."
Información financiera inteligente,Conocimiento y tendencias,https://finance.smileslife.co.kr/,images/icon_finance.png,Gestión racional de activos y portal de información financiera eficiente
Planificación de activos comunitarios FIRE,Conocimiento y tendencias,https://fire.smileslife.co.kr/,images/icon_fire.png,Consejos de planificación patrimonial para la comunidad FIRE: Preparándose para la libertad financiera.
Ingresos pasivos por automatización,Conocimiento y tendencias,https://passive.smileslife.co.kr/,images/icon_passive.png,Planificación automatizada de ingresos y creación de un flujo de ingresos pasivos.
codificación de automatización en Python,Conocimiento y tendencias,https://python.smileslife.co.kr/,images/icon_python.png,Aprender los fundamentos de la programación en Python y la codificación automatizada.
Información sobre gestión de riesgos,Conocimiento y tendencias,https://risk.smileslife.co.kr/,images/icon_risk.png,Gestión del riesgo de activos y análisis de factores de riesgo financiero seguro
Guía de optimización SEO,Conocimiento y tendencias,https://seo.smileslife.co.kr/,images/icon_seo.png,Conocimientos y consejos sobre optimización para motores de búsqueda (SEO) para lograr los primeros puestos en los rankings de sitios web.
Perspectivas sobre la inversión en bolsa,Conocimiento y tendencias,https://stock.smileslife.co.kr/,images/icon_stock.png,Análisis de las condiciones del mercado bursátil nacional e internacional y de las estrategias de inversión en acciones.
