name,group,url,icon,desc
Image background removal,Web service,web/background-removal/index.html,images/generative-image.png,AI-based image background removal and cutout
GIF converter,Web service,web/image-to-gif/index.html,images/gif-file.png,Creating animated GIFs by combining images
Audio converter,Web service,web/audio-converter/index.html,images/volume-adjustment.png,Music and Audio File Format Interconverter
Image quality improvement,Web service,web/image-upscaler/index.html,images/scale.png,High-definition upscaling blurry photos to make them sharp
Image AI Eraser,Web service,web/object-eraser/index.html,images/eraser.png,AI removes unwanted objects and text from photos
Image conversion filter,Web service,web/anime-filter/index.html,images/comic-book.png,Convert photos to cartoon/webtoon animation style
Image AI Analysis,Web service,web/image-tagging/index.html,images/image.png,"AI Image Analysis, Object Recognition, and Tag Recommendation Phrase Generation"
Color meter,Web service,web/color-picker/index.html,images/color.png,Extract accurate color codes from the screen using the eyedropper tool
Battle Arena,game,game/battle_arena/index.html,images/battle.png,50-Player Survival Battle Arena Action Game
Stella Vanguard,game,game/stella_vanguard/index.html,images/digital.png,Side-scrolling spaceship flight shooting action game
Tarot,game,web/lotto_tarot/index.html,images/lottery.png,Today's Tarot Fortune Reading and AI Counseling
Minesweeper,game,web/minesweeper/index.html,images/bomb.png,Classic Minesweeper Play Directly in Your Web Browser
Typing practice,game,web/typing-practice/index.html,images/typing.png,Korean/English Typewriter for Typing Practice
Contact Us,기타,https://forms.gle/iGqkmrB7YYptoUgQA,images/board.png,"Submit an inquiry regarding partnerships, errors, etc."
Notepad,기타,web/notepad/index.html,images/notepad.png,A simple web notepad that automatically saves your writing
Insurance consultation,기타,https://consult.smileslife.co.kr/,images/health.png,Free personalized insurance analysis suggested by an expert
img1,Wallpaper,,https://images.unsplash.com/photo-1688550378756-866114814fee?q=80&w=2560&auto=format&fit=crop,.
img2,Wallpaper,,https://images.unsplash.com/photo-1497436072909-60f360e1d4b1?q=80&w=2560&auto=format&fit=crop,.
img3,Wallpaper,,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=2560&auto=format&fit=crop,.
img4,Wallpaper,,https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?q=80&w=2560&auto=format&fit=crop,.
img5,Wallpaper,,https://images.unsplash.com/photo-1672838564788-e1e502b0cf54?q=80&w=2560&auto=format&fit=crop,.
img6,Wallpaper,,https://images.unsplash.com/photo-1589959116874-6216d692f81c?q=80&w=2560&auto=format&fit=crop,.
img7,Wallpaper,,https://images.unsplash.com/photo-1669666575158-ba619feba389?q=80&w=2560&auto=format&fit=crop,.
img8,Wallpaper,,https://images.unsplash.com/photo-1780392345460-c93c15118dda?q=80&w=2560&auto=format&fit=crop,.
img9,Wallpaper,,https://images.unsplash.com/photo-1687868803274-b800be48c907?q=80&w=2560&auto=format&fit=crop,.
AI Trend Portal,Knowledge & Trends,https://ai.smileslife.co.kr/,images/icon_ai.png,Latest AI Technology Trends and Artificial Intelligence Trend Information
Business Insights,Knowledge & Trends,https://business.smileslife.co.kr/,images/icon_business.png,Successful Business Strategy and Startup Marketing Guide
Crypto Guide,Knowledge & Trends,https://crypto.smileslife.co.kr/,images/icon_crypto.png,Virtual Asset Market Analysis and Blockchain Trends
Curiosity Heaven Portal,Knowledge & Trends,https://curiosity.smileslife.co.kr/,images/icon_curiosity.png,"Exploring the world's interesting knowledge, mysteries, and curiosity"
Smart Financial Information,Knowledge & Trends,https://finance.smileslife.co.kr/,images/icon_finance.png,Rational asset management and efficient financial information portal
FIRE community asset planning,Knowledge & Trends,https://fire.smileslife.co.kr/,images/icon_fire.png,Asset Planning Tips for the FIRE Community Preparing for Financial Freedom
Automation Passive Income,Knowledge & Trends,https://passive.smileslife.co.kr/,images/icon_passive.png,Automated Revenue Planning and Building a Passive Income Pipeline
Python automation coding,Knowledge & Trends,https://python.smileslife.co.kr/,images/icon_python.png,Learning Python Programming Basics and Automated Coding
Risk Management Information,Knowledge & Trends,https://risk.smileslife.co.kr/,images/icon_risk.png,Asset Risk Management and Safe Financial Risk Factor Analysis
SEO Optimization Guide,Knowledge & Trends,https://seo.smileslife.co.kr/,images/icon_seo.png,Search Engine Optimization Know-how and Tips for Top Website Rankings
Stock Investment Insights,Knowledge & Trends,https://stock.smileslife.co.kr/,images/icon_stock.png,Analysis of Domestic and International Stock Market Conditions and Stock Investment Strategies
